kategori_source           , kelas_source                 , jumlah, category_code    , type_nato, class_code             , class_name_en                                             , review_note
Amfibi                    , Frosch / Hoyerswerda         ,      9, AMPHIBIOUS       , LST      , FROSCH_HOYERSWERDA     , Frosch (Hoyerswerda) class landing ship tank              , "ex-Volksmarine; pennant numbers were reassigned in TNI AL service - verify per hull"
Amfibi                    , Makassar / LPD               ,      4, AMPHIBIOUS       , LPD      , MAKASSAR_LPD           , Makassar class landing platform dock                      , 
Amfibi                    , Makassar / LPD RS            ,      1, AMPHIBIOUS       , LPD      , MAKASSAR_LPD_RS        , Makassar class LPD (medical role)                         , "KRI Semarang - medical facilities fitted; confirm whether Type should be AH"
Amfibi                    , Makassar / LPH RS            ,      1, AMPHIBIOUS       , AH       , DR_SOEHARSO            , Hospital ship (ex-LPH)                                    , "ex-LPH converted to hospital ship; confirm Type AH vs LPH"
Amfibi                    , Teluk Bintuni / AT-117M      ,      8, AMPHIBIOUS       , LST      , TELUK_BINTUNI_AT117M   , Teluk Bintuni class landing ship tank                     , 
Amfibi                    , Teluk Semangka / LST-542     ,      2, AMPHIBIOUS       , LST      , TELUK_SEMANGKA_LST542  , Teluk Semangka class landing ship tank                    , "ex-US LST-542; verify per-hull service dates"
Bantu / Angkut            , Tanjung Kambani              ,      1, AUXILIARY        , AK       , TANJUNG_KAMBANI        , Tanjung Kambani class transport                           , 
Bantu / Angkut            , Tanjung Nusanive             ,      1, AUXILIARY        , AK       , TANJUNG_NUSANIVE       , Tanjung Nusanive class transport                          , 
Bantu / Komando           , Multatuli                    ,      1, AUXILIARY        , AGC      , MULTATULI              , Command ship                                              , 
Bantu / Rumah Sakit       , Wahidin Sudirohusodo         ,      2, AUXILIARY        , AH       , WAHIDIN_SUDIROHUSODO   , Hospital ship                                             , 
Bantu / Tanker            , Arun                         ,      1, AUXILIARY        , AO       , ARUN                   , Replenishment oiler (small)                               , "class name inferred from a single hull - confirm"
Bantu / Tanker            , Bontang / Rover              ,      1, AUXILIARY        , AO       , BONTANG_ROVER          , Bontang (Rover) class oiler                               , 
Bantu / Tanker            , Sorong                       ,      1, AUXILIARY        , AO       , SORONG                 , Sorong class oiler                                        , 
Bantu / Tanker            , Sungai Gerong                ,      1, AUXILIARY        , AO       , SUNGAI_GERONG          , Sungai Gerong class oiler                                 , 
Bantu / Tanker            , Tarakan                      ,      1, AUXILIARY        , AO       , TARAKAN                , Tarakan class oiler                                       , 
Bantu / Tunda             , Soputan (ATF)                ,      2, AUXILIARY        , ATF      , SOPUTAN_ATF            , Soputan class ocean tug                                   , "source already uses the NATO symbol ATF"
Buru Ranjau               , Pulau Rengat / Tripartite    ,      2, MINE_WARFARE     , MCM      , PULAU_RENGAT_TRIPARTITE, Pulau Rengat (Tripartite) class minehunter                , "refine to MHC/MSC per hull if the client wants finer granularity"
Frigat                    , Ahmad Yani / Van Speijk      ,      5, FRIGATE          , FF       , AHMAD_YANI_VAN_SPEIJK  , Ahmad Yani (Van Speijk) class frigate                     , "ex-Royal Netherlands Navy; verify current missile fit before choosing FF vs FFG"
Frigat                    , Bung Tomo / Meko 200         ,      3, FRIGATE          , FFG      , BUNG_TOMO_MEKO200      , Bung Tomo (Meko 200) class guided missile frigate         , "ex-Royal Navy; Exocet fit -> FFG"
Frigat                    , Fatahillah                   ,      3, FRIGATE          , FFG      , FATAHILLAH             , Fatahillah class frigate                                  , "Exocet fit -> FFG; hull is corvette-scale so the client may prefer FS"
Frigat                    , Martadinata / SIGMA 10514 PKR,      2, FRIGATE          , FFG      , MARTADINATA_SIGMA10514 , Martadinata (SIGMA 10514 PKR) class guided missile frigate, "PKR = Perusak Kawal Rudal -> FFG"
Kapal Cepat Rudal         , Clurit / KCR-40              ,      8, FAST_ATTACK_CRAFT, FAC(M)   , CLURIT_KCR40           , Clurit (KCR-40) class fast attack craft (missile)         , 
Kapal Cepat Rudal         , Golok / Klewang Trimaran     ,      1, FAST_ATTACK_CRAFT, FAC(M)   , GOLOK_KLEWANG          , Golok (Klewang trimaran) class stealth FAC                , 
Kapal Cepat Rudal         , Mandau / PSM Mk-III          ,      4, FAST_ATTACK_CRAFT, FAC(M)   , MANDAU_PSM_MK3         , Mandau (PSM Mk-III) class fast attack craft               , 
Kapal Cepat Rudal         , Sampari / KCR-60             ,      6, FAST_ATTACK_CRAFT, FAC(M)   , SAMPARI_KCR60          , Sampari (KCR-60) class fast attack craft                  , 
Kapal Cepat Rudal         , Singa / Albatros PB-57       ,      2, FAST_ATTACK_CRAFT, FAC(M)   , SINGA_ALBATROS_PB57    , Singa (Albatros PB-57) class fast attack craft            , "verify missile fit - if gun-only the Type should be PB"
Kapal Selam               , Cakra / Type 209-1300        ,      1, SUBMARINE        , SSK      , CAKRA_TYPE209_1300     , Cakra (Type 209/1300) class attack submarine              , "submerged max speed is MISSING from the source sheet"
Kapal Selam               , Nagapasa / DSME 209-1400     ,      3, SUBMARINE        , SSK      , NAGAPASA_DSME209_1400  , Nagapasa (DSME 209/1400) class attack submarine           , "submerged max speed is MISSING from the source sheet"
Korvet                    , Diponegoro / SIGMA 9113      ,      4, CORVETTE         , FSG      , DIPONEGORO_SIGMA9113   , Diponegoro (SIGMA 9113) class guided missile corvette     , "Exocet fit -> FSG"
Korvet                    , Pattimura / Parchim I        ,     14, CORVETTE         , FS       , PATTIMURA_PARCHIM_I    , Pattimura (Parchim I) class corvette                      , "ex-Volksmarine; batch 1 and batch 2 differ in sensor fit"
Korvet / OPV              , Bung Hatta / OPV 80m         ,      1, PATROL_CRAFT     , OPV      , BUNG_HATTA_OPV80M      , Bung Hatta class offshore patrol vessel                   , "source category 'Korvet / OPV' is inconsistent - reclassified to PATROL_CRAFT"
Korvet / OPV              , Bung Karno                   ,      1, PATROL_CRAFT     , OPV      , BUNG_KARNO             , Bung Karno class offshore patrol vessel                   , "source category 'Korvet / OPV' is inconsistent - reclassified to PATROL_CRAFT"
Latih                     , Bima Suci (Barque)           ,      1, TRAINING         , AX       , BIMA_SUCI              , Bima Suci class sail training ship                        , 
Latih                     , Dewaruci (Barque)            ,      1, TRAINING         , AX       , DEWARUCI               , Dewaruci class sail training ship                         , 
Patroli                   , Dorang / PC-60               ,      6, PATROL_CRAFT     , PC       , DORANG_PC60            , Dorang (PC-60) class patrol craft                         , 
Patroli                   , Pandrong / FPB-57 Nav II     ,      2, PATROL_CRAFT     , PB       , PANDRONG_FPB57_NAV2    , Pandrong (FPB-57 Nav II) class fast patrol boat           , 
Patroli                   , Pari / PC-40                 ,     11, PATROL_CRAFT     , PC       , PARI_PC40              , Pari (PC-40) class patrol craft                           , 
Patroli                   , Sibarau / Attack             ,      2, PATROL_CRAFT     , PB       , SIBARAU_ATTACK         , Sibarau (Attack) class patrol boat                        , "ex-Royal Australian Navy Attack class"
Survei / Hidro-Oseanografi, Dewa Kembar                  ,      1, SURVEY           , AGS      , DEWA_KEMBAR            , Dewa Kembar class hydrographic survey vessel              , "KRI Pulau Romang; class name inferred from a single hull - confirm"
Survei / Hidro-Oseanografi, Fani / BHO 105m              ,      2, SURVEY           , AGS      , FANI_BHO105M           , Fani (BHO 105m) class hydrographic survey vessel          , "BHO = Bantu Hidro-Oseanografi"
Survei / Hidro-Oseanografi, Rigel                        ,      2, SURVEY           , AGS      , RIGEL                  , Rigel class hydrographic survey vessel                    , 
